244072	32.8562
86048	11.5835
26404	3.5544
24637	3.3166
20740	2.7920
17529	2.3597
15575	2.0967
13146	1.7697
11214	1.5096
7921	1.0663
7849	1.0566
7676	1.0333
7485	1.0076
6937	0.9338
6892	0.9278
6601	0.8886
6282	0.8457
6122	0.8241
6033	0.8121
6031	0.8119
5922	0.7972
5539	0.7456
5518	0.7428
5073	0.6829
5029	0.6770
4973	0.6694
4914	0.6615
4683	0.6304
4423	0.5954
4414	0.5942
4360	0.5869
4252	0.5724
4097	0.5515
4030	0.5425
3892	0.5239
3842	0.5172
3788	0.5099
3619	0.4872
3610	0.4860
3599	0.4845
3484	0.4690
3408	0.4588
3389	0.4562
3374	0.4542
3269	0.4401
3234	0.4354
3152	0.4243
2926	0.3939
2916	0.3925
2764	0.3721
2637	0.3550
2400	0.3231
2397	0.3227
2343	0.3154
2332	0.3139
2318	0.3120
2302	0.3099
2226	0.2997
2212	0.2978
2200	0.2962
2107	0.2836
2076	0.2795
2061	0.2774
2045	0.2753
2034	0.2738
2013	0.2710
1992	0.2682
1944	0.2617
1942	0.2614
1902	0.2560
1895	0.2551
1843	0.2481
1818	0.2447
1811	0.2438
1800	0.2423
1777	0.2392
1755	0.2363
1696	0.2283
1673	0.2252
1642	0.2210
1578	0.2124
1575	0.2120
1470	0.1979
1456	0.1960
1455	0.1959
1449	0.1951
1385	0.1864
1358	0.1828
1358	0.1828
1331	0.1792
1308	0.1761
1137	0.1531
1126	0.1516
1124	0.1513
1113	0.1498
1072	0.1443
970	0.1306
951	0.1280
937	0.1261
816	0.1098
