0	26.0657
4181	2.5067
3666	2.1979
3348	2.0073
3247	1.9467
2912	1.7459
2614	1.5672
2605	1.5618
2529	1.5162
2224	1.3334
2112	1.2662
2088	1.2518
2008	1.2039
1998	1.1979
1976	1.1847
1960	1.1751
1942	1.1643
1809	1.0846
1744	1.0456
1699	1.0186
1690	1.0132
1626	0.9749
1614	0.9677
1565	0.9383
1532	0.9185
1522	0.9125
1517	0.9095
1515	0.9083
1510	0.9053
1435	0.8603
1388	0.8322
1387	0.8316
1359	0.8148
1326	0.7950
1318	0.7902
1309	0.7848
1306	0.7830
1296	0.7770
1294	0.7758
1164	0.6979
1159	0.6949
1136	0.6811
1102	0.6607
1076	0.6451
1068	0.6403
1052	0.6307
1038	0.6223
1026	0.6151
1022	0.6127
1007	0.6037
983	0.5893
983	0.5893
982	0.5888
970	0.5816
968	0.5804
929	0.5570
925	0.5546
914	0.5480
906	0.5432
883	0.5294
879	0.5270
861	0.5162
859	0.5150
852	0.5108
850	0.5096
838	0.5024
830	0.4976
827	0.4958
822	0.4928
819	0.4910
813	0.4874
812	0.4868
808	0.4844
799	0.4790
764	0.4581
760	0.4557
759	0.4551
757	0.4539
747	0.4479
746	0.4473
700	0.4197
693	0.4155
672	0.4029
666	0.3993
656	0.3933
636	0.3813
624	0.3741
608	0.3645
543	0.3256
541	0.3244
539	0.3232
535	0.3208
534	0.3202
506	0.3034
498	0.2986
482	0.2890
480	0.2878
463	0.2776
459	0.2752
420	0.2518
397	0.2380
